* Log file for the circuit /home/frathoso/Dropbox/ASpring_2014/Capstone/atpg/benchmarks/s5378.bench.
* Number of faults detected by each test pattern:

test    1: 1011000011101010010001100101001101100000000001111111011001110001101110010010011101101010011001111111011101010101101000111000111111100100000011001010001011100111111110100000010000110101101000110010010101001111110011 001011111111000111011001100010011000000111011111100000000011101110000011101111010101100000011100100011001000000000000000000000000011101001101111100011100101000000000000001010100000000001110110000100101011000011010101000000000000 1053 faults detected
test    2: 0111110110010000101110100110111011011010110010110110000011101001101111011100010011011011011010111011000101000001000010101110110000001110000010001001110000011001011011010010110110000010101111101010100100101100100001 010111111111000001110000100000000000000010000101111110111010111110100110111110110111111110110101000011000100000000000100000000000011011011110110100011100111001100100101000000110010001001110100111111101001101010011001100100000000  485 faults detected
test    3: 1111110101110000011000001000100010111011010010111010010110010001011010010110011101101001111111010110111010111100111101110000110111011101100010001111000110011101010101001101000010000011110111100100010101110001000111 011011001111101011100100000000000001111101011101111110111011110100100101110101110011111110111101000001101000000000000110100000000010111011111111100001000100100011000000000000000101001001010110001011100100000100000100000100000000  333 faults detected
test    4: 0110101001110110000011001101010110111110000110101111000110110101011110111000000011111101100101101101110000110110101000100111001000011111101011000010101010100111110100000010100010100111110100111011011100110111001111 101001111101011011110100000000000000011001010111101001100100110000000100110000000000001011010000000010001000000000000101100000000010000000000111100001100110010000010000001000000101011001110110001101100100101100101011100000000000  258 faults detected
test    5: 0011100010000101001000011000101110110011000010111011000011100101100100111100101100000101010000100011010001011111111100100101100001100010101100000111000001001100101000000010001001001001001101111001110100111110101011 001011001111110000110111100000000000011111011101101000100000101110000110101110101101011010010100000010100010011111000000100000000011010101010110111101000111000101110001001011100011011001110010011110011001110110110111100000000000  203 faults detected
test    6: 0100001001111000000010101011000101001011000101100101111110111100001100111111010101001001110001100110001011100111011010100010011010000100111110011110111110111000110110100111011010010111110110101110010001101001100111 001010111111011101100101100000000000000001011011100001000100010000000000010010000000000001010111000001001000000000000000100000000010000000001111100001100001101001010000000010100100000001010010000001100101001100110101000000000000  163 faults detected
test    7: 1101101111111100100110100101101100010110111001000110011111001110000100010001000101011011110011010011010110011001101100100010110011101011110100011111001010101111111001001000010100000001100010010111100001100100111101 011011001111010101011010100000000001100110011111111011101101011110100001011111111111010011111110100000000100000000000000000000000001111111010110100011100111000011100100001001110011001001110100111110101110001000110110000000000000   93 faults detected
test    8: 0000011111111111010000100110001110010101111110111001011110111110111100011100100010000110010010001101000100000011010000100000100000000011111000110111010000100000000001101010000101000101110000011000011001000100010001 111011111011010010010111100000000000000111011110100111011100001011000000001001111101111101110010100011101010000000000000100000000011111101110111100011100111011110010001001011100111000001110100001101100110111011111010000000000000  128 faults detected
test    9: 0001110011010111101010010001001010011100011000001111010101001111000101011101011101110100000010011010111000010001011110111111001110011100001111001100010011001110001010011001000011100100111011111111100010110110010100 000111111111111101110100000000000001100011011111111100110000001100000100001111101010110110000110000000000100000000000000100000000010110110110010100001100100100110100000001000000010001001010110001101100011000111110100100000000000   98 faults detected
test   10: 0101000111101001101011101111011001101111101010111011110000101011111100100101001111000100111011111001101011110010001110111101101010010110111101010011110101001000101010001101101001110111111101000011010110011100011100 111001111111010111111001000000000001100111010001110010001000011110000110011101011011000000101101000010001000000000000000100000000000101111000110100011000000011000100001001010000010001001010010000001100001000101010010100000000000   60 faults detected
test   11: 1100110000001011011001001000000000101111001100101100000111100011010111111100001111110010100000001110000111011100111000011101000101010010000010001111110001010000000111010011011110101110110110100000001010100100100000 010100001011110010011111000000000001100111111111101100110001010010100101010000000000001110001011100011101110000000000110000000000000000000000111100001000111101110010001000011000100011001010000001101000101100001110011100100000000   54 faults detected
test   12: 1000000010000000111111011111101011110001101110001110001010000101011110000101011011000010010001100001111100111111111100111110101011110111001100001110010000100001011100100011010110111000101010001010100100111000001000 101010011111100011110101000000000011111110011111110000000011001010100111001001000110001000010101000010100100000000000100100000000011100010000110100001000100010001110101101110000001000001010100100110001010000011111001100001000000   79 faults detected
test   13: 1100010011011100001100010111011001101111101100111001101010011111110101011000000010101001001011001101111101111001000110101010011010100101100110001011011010011011110001001001011001110100010101000100100110000111100010 011011111111011100011001100000000001100111011101100100010001011000000111011011100001010100001101100001100110000000000000000000000000110001010111100011000100010010010000000010100111011001010011000100110100011110011010100100000000   41 faults detected
test   14: 0011100010110101011000110011100010011101100110010000001011101100010101001011100100001001000000100101010011110110000001010011011101100110111110110000001000101110111011110100100010001110101101010001010111110100110100 100000111101010001100001100000000001111110010010101000100000101110100110101110100101011010001111000010101000000000000100100000000011010001011111100011100011010101010101101110100010000001100110101100001001111110110111000000000000   72 faults detected
test   15: 1000010101001111011010101111101000110101110110010000100111010001000111100111010001100111111001010001001111101011101100000110010010100000001101100101000000011100101000001001010110010101001001011001001001011001000011 111011011111001011001111100000000001111110011101110110011011000000111101000001001111111100110010100010101100000000000100000000000001100111111110100001100101011011100101100011110011011001010100110100111011001000011100000000000000   38 faults detected
test   16: 1000101101100001111100000000011100110100000111101110001000110111101111100000110011000100000011100001111111110000110000101101111101011111100101110001100011001000001101011110011111101011111011010111000101011010000011 110101111011000010110100000000000000011101111100111011101111000010100111000001011110001011111100000000001110000000000000000000000011101110000111100001000100010001110000001000000001011001100000001111000010101111111000000000000000   15 faults detected
test   17: 0101101001000111100111011101000001011000110011001000110101110100010001111001110001111010110110100111111111011111101010111011000000100111001010001000010100011100100001000011001101001110011100101100100001010110010110 011011011111011101100001100000000001100001011101101001100100010100100100010110000000000011010111000001100100000000000000000000000010000000001111100011100100000101010001000010100111001001010000011000010000101001101101000000000000   39 faults detected
test   18: 0111111100111011000001010110111111111100000101111011100100101001101110111101000110001000101110110100010101111011000001100000111000110000001110001000010101111111000001100110011001100111011010001001011011000001010001 011011011111100011111011000000000000011111011101111111111110110110000100110100111011111111100011000010101000000000000000000000000000011111110110100011000111110101000001000011000111010001110011001100110011111101000011000100000000   43 faults detected
test   19: 1000111111110100000001000110011100011011110101000110010110100111110001000000101100000100110001111110010111001110001001010001100001100110011110111011111001001101010000101101101101110100000101011000000001000010011100 001010111111110100011101100000000000000011010010101111111101001010100101001011110000010111110110100011101110000000000000000000000000111000010110100011100011100000000001001010100111000011010000000100111101110101110110000000000000   44 faults detected
test   20: 0011110011101001001101101000000010101100110010101110100010011010111111000011000000011001100110010001110101110010101100001000001011010010010000100001000111101111011100100111000000101110110000100101010001000011111101 111011111111110110100111000000000000011110011111101100110000101110111110101100000000000110011111000000101010000000000100000000000010000000001111100001000110010111100100001011010001000001010110101101000111011100101111000000000000   10 faults detected
test   21: 0011011011011000001010010101110000001101011100111010001010001000110111101010111111100010011111000010101111010011011110110001111101011110101110001110111110101111000110110010010100010010010010010110010110011100101100 010001111011011111001100000000000000000110011101100101010100101100100110101100101101100101001100100001001000000000000100000000000001010101101110100001000100101011110100101000010100000001110100100011110111100011000001100100000000   18 faults detected
test   22: 1110010111000010100100100111100011101011110111010010001100010100010101101011001000011001011111100100010111100110111101100100001110001011111011010001111001100010111011000000000000101000100101000000110001010000001111 101010111101000101001110100000000000011110011001110110011011111010100101111011110110100100111111100011100000000000000000000000000001111010101111100001100011110001010101101001110010011001110111101111001100010110001111000000000000   16 faults detected
test   23: 0001011001001011001000010001101010111000010001110000110000000111001000110011011100001010010010111111111001001010001001101101111101010110110101001001100000011110011001000101000110101111101110010100000001111001010000 011011111111001110000001000000000000000101011111100101010110000100111110000101001001100101011110100001101110000000000000100000000010100101101111100011000100000100000001000010000011011001010100001101001001110011110101000000000000   16 faults detected
test   24: 0100111100100011011110110101111110101110111111110011101101001001000010010101000000000111100001101001000010100000100111010011011011001101110000001101111111100101101010100011111001001010100101001001110100011010000111 101011111111010001101000100000000000011001000101111111111100010011011100010010011110111111110101000010100000101011010000100000000001001110111101011011100111011000110000001000100010000001010010001011001100011000111111100001000000   36 faults detected
test   25: 0010101100100110010110011010111000010111101100111011110110110001111110001010010011001101101100100001111111011001011001101011000101011101101010101001011101011101001101001011011110001110110101111110111010001101000111 001011111111001101100100000000000001111110111111111011101110100000011100100010111110110011100010000000100000000000000100000000000011011110111110100001000100010101110101100100000001001001010000101001000100101100001000100010000000   18 faults detected
test   26: 0110101011011100111111111001101100100000000111111001101000000111110111101100001110100011100001100001000001110111100011010010101010110111101111100101001101111111001010110011000100111111001111101110101100011110111110 100011111111010000110101000000000000011111011101111001100100111010011110111011111111011011010001000001000110000000000000100000000011111111010110100001100111011001110001000010000010000001010100000100011000010000110011100000000000   19 faults detected
test   27: 1010010011101010010010100001100001001100000110101000100010010001101101110001011011000110110011001100000100010011110111111011101000110010010010011110001001111101101111110101001001001001000100011011111000101111110100 000111111011000001001011011010110001100111011111100100010011101010100111101011100100101100010010111001001000000000000000100000000001110000101110100011100111111010010001000011000000000001010010001110011101100001111001100000000000   82 faults detected
test   28: 1000110011111000110101100011010101001000100110101101110011111010000011010011010000000000100101001011100011001101101011100001001000011111101111011001101001110001000100011110100000111101100100000011001110101000011010 000111111111010001000100000000000001100000010111101100110001001010000111001010000000001110000110100010001100000000000100100000000010000000001111100001100110001010110101100100000101001001110110100101001100111101101100100000001000   22 faults detected
